"filename", "language", "PHP", "JavaScript", "JSON with Comments", "CSS", "SCSS", "JSON", "XML", "Markdown", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\inmuebles\admin\views\build\npm\Publish.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 10, 60
"c:\xampp\htdocs\inmuebles\admin\views\build\npm\vnu-jar.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 27, 7, 56
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_adminlte.raw.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 17, 4, 31
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_alerts.scss", "SCSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 5, 10, 53
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_animation-effects.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 3, 15
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_bootstrap-variables.scss", "SCSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 96, 232, 923
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_brand.scss", "SCSS", 0, 0, 0, 0, 85, 0, 0, 0, 0, 3, 19, 107
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_buttons.scss", "SCSS", 0, 0, 0, 0, 146, 0, 0, 0, 0, 10, 24, 180
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_callout.scss", "SCSS", 0, 0, 0, 0, 53, 0, 0, 0, 0, 5, 16, 74
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_cards.scss", "SCSS", 0, 0, 0, 0, 422, 0, 0, 0, 0, 30, 97, 549
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_carousel.scss", "SCSS", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 3, 29
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_close.scss", "SCSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 8, 45
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_colors.scss", "SCSS", 0, 0, 0, 0, 112, 0, 0, 0, 0, 22, 30, 164
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_control-sidebar.scss", "SCSS", 0, 0, 0, 0, 142, 0, 0, 0, 0, 10, 28, 180
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_direct-chat.scss", "SCSS", 0, 0, 0, 0, 208, 0, 0, 0, 0, 8, 44, 260
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_dropdown.scss", "SCSS", 0, 0, 0, 0, 227, 0, 0, 0, 0, 26, 43, 296
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_elevation.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 3, 15
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_forms.scss", "SCSS", 0, 0, 0, 0, 371, 0, 0, 0, 0, 21, 60, 452
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_info-box.scss", "SCSS", 0, 0, 0, 0, 140, 0, 0, 0, 0, 3, 24, 167
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_layout.scss", "SCSS", 0, 0, 0, 0, 575, 0, 0, 0, 0, 14, 120, 709
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_main-header.scss", "SCSS", 0, 0, 0, 0, 146, 0, 0, 0, 0, 6, 28, 180
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_main-sidebar.scss", "SCSS", 0, 0, 0, 0, 988, 0, 0, 0, 0, 40, 182, 1210
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 436, 0, 0, 0, 0, 22, 84, 542
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_mixins.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 2, 18
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_modals.scss", "SCSS", 0, 0, 0, 0, 64, 0, 0, 0, 0, 5, 8, 77
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_navs.scss", "SCSS", 0, 0, 0, 0, 147, 0, 0, 0, 0, 6, 30, 183
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_pagination.scss", "SCSS", 0, 0, 0, 0, 72, 0, 0, 0, 0, 3, 9, 84
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_preloader.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 4, 25
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_print.scss", "SCSS", 0, 0, 0, 0, 36, 0, 0, 0, 0, 8, 9, 53
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_products.scss", "SCSS", 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 16, 69
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_progress-bars.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 8, 13, 73
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_root.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 3, 15
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_sidebar-mini.scss", "SCSS", 0, 0, 0, 0, 436, 0, 0, 0, 0, 7, 66, 509
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_small-box.scss", "SCSS", 0, 0, 0, 0, 135, 0, 0, 0, 0, 8, 23, 166
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_social-widgets.scss", "SCSS", 0, 0, 0, 0, 64, 0, 0, 0, 0, 14, 16, 94
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_table.scss", "SCSS", 0, 0, 0, 0, 145, 0, 0, 0, 0, 11, 20, 176
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_text.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 10, 52
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_timeline.scss", "SCSS", 0, 0, 0, 0, 135, 0, 0, 0, 0, 12, 9, 156
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_toasts.scss", "SCSS", 0, 0, 0, 0, 60, 0, 0, 0, 0, 3, 15, 78
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_users-list.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 9, 55
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_variables-alt.scss", "SCSS", 0, 0, 0, 0, 86, 0, 0, 0, 0, 11, 11, 108
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 161, 0, 0, 0, 0, 50, 38, 249
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\adminlte.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 10, 4, 26
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_accent.scss", "SCSS", 0, 0, 0, 0, 88, 0, 0, 0, 0, 4, 15, 107
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_animations.scss", "SCSS", 0, 0, 0, 0, 95, 0, 0, 0, 0, 4, 21, 120
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_backgrounds.scss", "SCSS", 0, 0, 0, 0, 55, 0, 0, 0, 0, 5, 10, 70
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_cards.scss", "SCSS", 0, 0, 0, 0, 67, 0, 0, 0, 0, 3, 13, 83
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_custom-forms.scss", "SCSS", 0, 0, 0, 0, 93, 0, 0, 0, 0, 7, 24, 124
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_dark-mode.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 2, 12
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_direct-chat.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 3, 18
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 7, 8, 34
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_navbar.scss", "SCSS", 0, 0, 0, 0, 54, 0, 0, 0, 0, 4, 5, 63
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_scrollbar.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 10, 39
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_sidebar.scss", "SCSS", 0, 0, 0, 0, 128, 0, 0, 0, 0, 14, 26, 168
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_toasts.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 5, 24
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\mixins\_touch-support.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 3, 12
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_404_500_errors.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 9, 44
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_e-commerce.scss", "SCSS", 0, 0, 0, 0, 31, 0, 0, 0, 0, 7, 8, 46
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_iframe.scss", "SCSS", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 16, 143
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_invoice.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 4, 20
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_kanban.scss", "SCSS", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 8, 61
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_lockscreen.scss", "SCSS", 0, 0, 0, 0, 71, 0, 0, 0, 0, 8, 15, 94
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_login_and_register.scss", "SCSS", 0, 0, 0, 0, 97, 0, 0, 0, 0, 3, 19, 119
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_mailbox.scss", "SCSS", 0, 0, 0, 0, 78, 0, 0, 0, 0, 3, 19, 100
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_profile.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 8, 45
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\pages\_projects.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 5, 27
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\_components.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 2, 16
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\_core.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 2, 17
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\_extra-components.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 2, 12
